,duration,srcbytes,dstbytes,land,wrongfragment,urgent,hot,numfailedlogins,loggedin,numcompromised,rootshell,suattempted,numfilecreations,numshells,numaccessfiles,ishostlogin,count,srvcount,serrorrate,rerrorrate,samesrvrate,diffsrvrate,srvdiffhostrate,dsthostcount,dsthostsrvcount,dsthostdiffsrvrate,dsthostsamesrcportrate,dsthostsrvdiffhostrate,protocol_encoded,service_encoded,flag_encoded
103864,0,43,182,0,0,0,0,0,0,0,0,0,0,0,0,0,101,181,0.0,0.0,1.0,0.0,0.01,255,255,0.0,0.0,0.0,141.21503368238513,130.25666261196506,20938.455295185224
64100,0,28,0,0,3,0,0,0,0,0,0,0,0,0,0,0,73,73,0.0,0.0,1.0,0.0,0.0,255,73,0.64,0.29,0.0,141.21503368238513,90075.67057154624,20938.455295185224
121047,0,311,1014,0,0,0,0,0,1,0,0,0,0,0,0,0,15,27,0.0,0.0,1.0,0.0,0.15,32,255,0.0,0.03,0.05,80114.2882489848,6006.81136893252,20938.455295185224
10100,0,3775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0.05,0.0,0.05,0.75,0.0,255,1,0.07,0.45,0.0,80114.2882489848,312548.73411332874,20938.455295185224
69891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,20,1.0,0.0,0.09,0.07,0.0,255,20,0.08,0.0,0.0,80114.2882489848,0.10472972972972973,0.02536512582135376
36719,0,902,440,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0,0.0,0.0,255,97,0.02,0.0,0.0,80114.2882489848,32667.764255435526,20938.455295185224
86699,0,233,458,0,0,0,0,0,1,0,0,0,0,0,0,0,30,37,0.0,0.0,1.0,0.0,0.11,255,255,0.0,0.0,0.0,80114.2882489848,6006.81136893252,20938.455295185224
43657,0,44,137,0,0,0,0,0,0,0,0,0,0,0,0,0,78,160,0.0,0.0,0.99,0.03,0.02,255,200,0.02,0.0,0.0,141.21503368238513,130.25666261196506,20938.455295185224
21920,0,1776,495,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0.0,0.0,1.0,0.0,1.0,255,28,0.02,0.0,0.0,80114.2882489848,32667.764255435526,20938.455295185224
50565,0,282,2474,0,0,0,0,0,1,0,0,0,0,0,0,0,6,20,0.0,0.0,1.0,0.0,0.25,255,255,0.0,0.0,0.0,80114.2882489848,6006.81136893252,20938.455295185224
80949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,4,1.0,0.0,0.02,0.07,0.0,255,4,0.07,0.0,0.0,80114.2882489848,789039.1043329532,0.02536512582135376
23895,0,163,19076,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0,0.0,0.0,255,255,0.0,0.0,0.0,80114.2882489848,6006.81136893252,20938.455295185224
26900,0,383,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0.0,0.0,0.5,1.0,0.0,24,107,0.17,0.12,0.03,80114.2882489848,143597.02653061223,20938.455295185224
36408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,1,0.01,0.93,0.01,1.0,0.0,228,1,0.48,0.0,0.0,80114.2882489848,90075.67057154624,0.0
8226,0,148,22265,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0,0.0,0.0,255,255,0.0,0.0,0.0,80114.2882489848,6006.81136893252,20938.455295185224
52470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,2,1.0,0.0,0.02,0.06,0.0,255,2,0.05,0.0,0.0,80114.2882489848,55.479789103690685,0.02536512582135376
3367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,5,1.0,0.0,0.02,0.06,0.0,255,1,0.08,0.0,0.0,80114.2882489848,165.6816720257235,0.02536512582135376
107628,0,45,71,0,0,0,0,0,0,0,0,0,0,0,0,0,129,129,0.0,0.0,1.0,0.0,0.0,255,254,0.01,0.0,0.0,141.21503368238513,130.25666261196506,20938.455295185224
116441,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,0.0,0.0,1.0,0.0,1.0,2,86,0.0,1.0,0.5,342.9415600096595,11.793976429506765,20938.455295185224
50361,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,0.0,0.0,1.0,0.0,1.0,2,94,0.0,1.0,0.26,342.9415600096595,11.793976429506765,20938.455295185224
65465,0,209,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0,0.0,0.0,86,86,0.03,0.24,0.02,80114.2882489848,143597.02653061223,20938.455295185224
6629,0,258,44324,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0,0.0,0.0,255,255,0.0,0.0,0.0,80114.2882489848,6006.81136893252,20938.455295185224
114043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,4,1.0,0.0,0.03,0.08,0.0,255,3,0.07,0.0,0.0,80114.2882489848,90075.67057154624,0.02536512582135376
112095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,14,1.0,0.0,0.1,0.06,0.0,129,7,0.12,0.01,0.0,80114.2882489848,90075.67057154624,0.02536512582135376
115687,0,207,1918,0,0,0,0,0,1,0,0,0,0,0,0,0,7,14,0.0,0.0,1.0,0.0,0.14,255,255,0.0,0.0,0.0,80114.2882489848,6006.81136893252,20938.455295185224
92930,0,232,27554,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,0.0,0.0,1.0,0.0,0.4,255,255,0.0,0.0,0.0,80114.2882489848,6006.81136893252,20938.455295185224
85742,0,44,127,0,0,0,0,0,0,0,0,0,0,0,0,0,75,153,0.0,0.0,1.0,0.0,0.01,253,169,0.01,0.0,0.0,141.21503368238513,130.25666261196506,20938.455295185224
112939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,1,0.0,1.0,0.01,0.07,0.0,255,1,0.08,0.0,0.0,80114.2882489848,90075.67057154624,0.0
64760,0,210,7590,0,0,0,0,0,1,0,0,0,0,0,0,0,19,19,0.0,0.0,1.0,0.0,0.0,43,255,0.0,0.02,0.02,80114.2882489848,6006.81136893252,20938.455295185224
69516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,16,1.0,0.0,0.06,0.06,0.0,255,16,0.06,0.0,0.0,80114.2882489848,0.001160092807424594,0.02536512582135376
72075,0,331,483,0,0,0,0,0,1,0,0,0,0,0,0,0,9,9,0.0,0.0,1.0,0.0,0.0,255,255,0.0,0.01,0.0,80114.2882489848,6006.81136893252,20938.455295185224
41545,0,246,515,0,0,0,0,0,1,0,0,0,0,0,0,0,8,48,0.0,0.0,1.0,0.0,0.1,255,255,0.0,0.0,0.0,80114.2882489848,6006.81136893252,20938.455295185224
46558,0,219,1547,0,0,0,0,0,1,0,0,0,0,0,0,0,44,55,0.0,0.0,1.0,0.0,0.04,116,116,0.0,0.01,0.0,80114.2882489848,6006.81136893252,20938.455295185224
94395,0,235,4288,0,0,0,0,0,1,0,0,0,0,0,0,0,10,12,0.0,0.0,1.0,0.0,0.25,26,255,0.0,0.04,0.07,80114.2882489848,6006.81136893252,20938.455295185224
61734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,18,1.0,0.0,0.22,0.06,0.0,255,18,0.07,0.0,0.0,80114.2882489848,0.002061855670103093,0.02536512582135376
116341,0,203,595,0,0,0,0,0,1,0,0,0,0,0,0,0,11,12,0.0,0.0,1.0,0.0,0.17,94,255,0.0,0.01,0.02,80114.2882489848,6006.81136893252,20938.455295185224
78571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,4,1.0,0.0,0.02,0.06,0.0,255,4,0.07,0.0,0.0,80114.2882489848,0.0014084507042253522,0.02536512582135376
85376,0,208,4324,0,0,0,0,0,1,0,0,0,0,0,0,0,6,14,0.0,0.0,1.0,0.0,0.14,67,255,0.0,0.01,0.02,80114.2882489848,6006.81136893252,20938.455295185224
15541,0,42,127,0,0,0,0,0,0,0,0,0,0,0,0,0,144,224,0.0,0.0,0.99,0.01,0.01,255,254,0.01,0.0,0.0,141.21503368238513,130.25666261196506,20938.455295185224
105973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,15,1.0,0.0,0.05,0.06,0.0,255,18,0.06,0.0,0.0,80114.2882489848,90075.67057154624,0.02536512582135376
77082,0,1690,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,0.0,0.0,1.0,0.0,0.0,50,58,0.04,0.8,0.03,80114.2882489848,143597.02653061223,20938.455295185224
114155,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,0.0,0.0,1.0,0.0,1.0,1,29,0.0,1.0,0.52,342.9415600096595,11.793976429506765,20938.455295185224
43511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,11,1.0,0.0,0.08,0.05,0.0,255,12,0.06,0.0,0.0,80114.2882489848,90075.67057154624,0.02536512582135376
