,duration,srcbytes,dstbytes,land,wrongfragment,urgent,hot,numfailedlogins,loggedin,numcompromised,rootshell,suattempted,numfilecreations,numshells,numaccessfiles,ishostlogin,count,srvcount,serrorrate,rerrorrate,samesrvrate,diffsrvrate,srvdiffhostrate,dsthostcount,dsthostsrvcount,dsthostdiffsrvrate,dsthostsamesrcportrate,dsthostsrvdiffhostrate,protocol_encoded,service_encoded,flag_encoded
0,0,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,1.0,0.0,0.0,150,25,0.03,0.17,0.0,80114.2882489848,143597.02653061223,20938.455295185224
1,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0.0,0.0,0.08,0.15,0.0,255,1,0.6,0.88,0.0,141.21503368238513,312548.73411332874,20938.455295185224
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,6,1.0,0.0,0.05,0.07,0.0,255,26,0.05,0.0,0.0,80114.2882489848,90075.67057154624,0.02536512582135376
3,0,232,8153,0,0,0,0,0,1,0,0,0,0,0,0,0,5,5,0.2,0.0,1.0,0.0,0.0,30,255,0.0,0.03,0.04,80114.2882489848,6006.81136893252,20938.455295185224
4,0,199,420,0,0,0,0,0,1,0,0,0,0,0,0,0,30,32,0.0,0.0,1.0,0.0,0.09,255,255,0.0,0.0,0.0,80114.2882489848,6006.81136893252,20938.455295185224
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,19,0.0,1.0,0.16,0.06,0.0,255,19,0.07,0.0,0.0,80114.2882489848,90075.67057154624,0.0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,9,1.0,0.0,0.05,0.06,0.0,255,9,0.05,0.0,0.0,80114.2882489848,90075.67057154624,0.02536512582135376
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,16,1.0,0.0,0.14,0.06,0.0,255,15,0.07,0.0,0.0,80114.2882489848,90075.67057154624,0.02536512582135376
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,23,1.0,0.0,0.09,0.05,0.0,255,23,0.05,0.0,0.0,80114.2882489848,0.01282051282051282,0.02536512582135376
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,8,1.0,0.0,0.06,0.06,0.0,255,13,0.06,0.0,0.0,80114.2882489848,90075.67057154624,0.02536512582135376
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,12,0.0,1.0,0.06,0.06,0.0,255,12,0.07,0.0,0.0,80114.2882489848,90075.67057154624,0.0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,3,1.0,0.0,0.02,0.06,0.0,255,13,0.07,0.0,0.0,80114.2882489848,90075.67057154624,0.02536512582135376
12,0,287,2251,0,0,0,0,0,1,0,0,0,0,0,0,0,3,7,0.0,0.0,1.0,0.0,0.43,8,219,0.0,0.12,0.03,80114.2882489848,6006.81136893252,20938.455295185224
13,0,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0.0,0.0,1.0,0.0,0.0,2,20,0.0,1.0,0.2,80114.2882489848,143597.02653061223,20938.455295185224
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,1,1.0,0.0,0.0,0.06,0.0,255,1,0.07,0.0,0.0,80114.2882489848,0.0022172949002217295,0.02536512582135376
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,16,1.0,0.0,0.17,0.05,0.0,255,2,0.06,0.0,0.0,80114.2882489848,0.002881844380403458,0.02536512582135376
16,0,300,13788,0,0,0,0,0,1,0,0,0,0,0,0,0,8,9,0.0,0.0,1.0,0.0,0.22,91,255,0.0,0.01,0.02,80114.2882489848,6006.81136893252,20938.455295185224
17,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0,0.0,0.0,1,16,0.0,1.0,1.0,342.9415600096595,11.793976429506765,20938.455295185224
18,0,233,616,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0.0,0.0,1.0,0.0,0.0,66,255,0.0,0.02,0.03,80114.2882489848,6006.81136893252,20938.455295185224
19,0,343,1178,0,0,0,0,0,1,0,0,0,0,0,0,0,9,10,0.0,0.0,1.0,0.0,0.2,157,255,0.0,0.01,0.04,80114.2882489848,6006.81136893252,20938.455295185224
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,23,1.0,0.0,0.1,0.05,0.0,255,23,0.05,0.0,0.0,80114.2882489848,0.002277904328018223,0.02536512582135376
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,17,1.0,0.0,0.06,0.05,0.0,238,17,0.06,0.0,0.0,80114.2882489848,90075.67057154624,0.02536512582135376
22,0,253,11905,0,0,0,0,0,1,0,0,0,0,0,0,0,8,10,0.0,0.0,1.0,0.0,0.2,87,255,0.0,0.01,0.02,80114.2882489848,6006.81136893252,20938.455295185224
23,5607,147,105,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0,0.0,0.0,255,1,0.85,1.0,0.0,141.21503368238513,312548.73411332874,20938.455295185224
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,2,1.0,0.0,0.01,0.06,0.0,255,2,0.06,0.0,0.0,80114.2882489848,0.002277904328018223,0.02536512582135376
25,507,437,14421,0,0,0,0,0,1,3,0,0,0,0,1,0,1,1,0.0,0.0,1.0,0.0,0.0,255,25,0.05,0.0,0.0,80114.2882489848,190410.34806629835,20938.455295185224
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,7,1.0,0.0,0.03,0.06,0.0,255,13,0.07,0.0,0.0,80114.2882489848,90075.67057154624,0.02536512582135376
27,0,227,6588,0,0,0,0,0,1,0,0,0,0,0,0,0,5,22,0.0,0.0,1.0,0.0,0.18,43,255,0.0,0.02,0.14,80114.2882489848,6006.81136893252,20938.455295185224
28,0,215,10499,0,0,0,0,0,1,0,0,0,0,0,0,0,14,14,0.0,0.0,1.0,0.0,0.0,255,255,0.0,0.0,0.0,80114.2882489848,6006.81136893252,20938.455295185224
29,0,241,1400,0,0,0,0,0,1,0,0,0,0,0,0,0,33,33,0.0,0.03,1.0,0.0,0.0,255,255,0.0,0.0,0.0,80114.2882489848,6006.81136893252,20938.455295185224
30,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0.0,0.0,1.0,0.0,1.0,1,53,0.0,1.0,0.51,342.9415600096595,11.793976429506765,20938.455295185224
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,16,1.0,0.0,0.28,0.07,0.0,255,59,0.04,0.01,0.0,80114.2882489848,392462.37577815505,0.02536512582135376
