,attackhlc
103864,0
64100,1
121047,0
10100,0
69891,1
36719,0
86699,0
43657,0
21920,0
50565,0
80949,1
23895,0
26900,0
36408,3
8226,0
52470,1
3367,1
107628,0
116441,3
50361,3
65465,0
6629,0
114043,1
112095,1
115687,0
92930,0
85742,0
112939,1
64760,0
69516,1
72075,0
41545,0
46558,0
94395,0
61734,1
116341,0
78571,1
85376,0
15541,0
105973,1
77082,0
114155,3
43511,1
39047,0
66713,0
45371,1
42664,1
22818,0
9745,0
70255,0
46033,2
112517,1
43257,0
86763,0
100840,1
83508,0
72003,3
106283,0
122757,0
84413,0
108558,0
50719,1
53474,3
76200,0
117867,0
56771,0
25579,1
84961,0
59420,0
96948,0
9111,0
103796,1
88743,0
124003,1
20757,0
79556,0
120695,0
51226,0
17517,1
16181,0
63123,0
123918,0
5408,1
8727,0
88380,1
30166,0
92844,1
107528,0
28815,0
20033,1
7965,0
66262,0
110654,3
5309,1
28363,1
121173,0
45169,1
51815,1
62137,0
57144,1
26506,0
4376,1
14867,1
65470,1
122782,0
11888,0
57495,0
44337,1
116471,0
95595,0
5249,0
58393,0
40702,0
62364,0
4605,1
99026,0
94082,0
82277,0
116988,3
50343,0
78517,1
96580,1
58569,1
75122,1
83995,0
15873,1
75181,1
18324,0
62895,0
57775,1
118393,0
102276,0
83686,0
5168,1
35296,0
95468,1
56472,0
113127,1
22612,3
115081,0
16799,1
83416,0
9488,0
82750,1
112356,1
55808,1
89654,0
93596,1
95054,1
26418,1
29473,0
103152,1
102429,1
82918,0
21468,1
6949,0
124350,0
14375,0
113417,0
28594,0
119633,0
20013,1
114674,0
21961,3
57056,1
101095,0
46135,1
1908,0
1633,3
29550,3
1749,1
14049,1
70308,3
100242,1
72966,0
68478,0
36332,0
17444,0
62887,0
41313,0
74423,0
113144,1
65001,0
3818,1
98782,0
5878,0
122347,0
61193,1
12181,0
96615,0
85544,1
41663,0
80233,1
24711,0
68639,0
55456,0
61591,0
1174,3
92069,1
34886,1
64457,1
55423,1
42526,1
4225,0
56394,1
65505,0
42884,0
54262,0
112262,0
52172,0
48193,3
73329,3
72736,1
17617,0
40780,1
107113,1
19745,1
2385,3
88810,1
93741,3
3600,0
26652,0
98010,1
123703,1
121234,0
112008,3
46812,0
49766,1
76796,1
86933,0
104678,0
55702,1
121315,0
74665,0
312,1
53254,3
111909,1
27283,1
59732,0
103570,3
49634,0
58778,3
57176,0
7358,1
45790,0
81088,1
29963,0
103513,0
57062,0
121582,0
26114,1
97303,0
60901,0
69951,1
81036,1
55055,1
63192,1
37115,1
93968,0
95097,0
24917,0
44665,0
99979,1
64385,1
104941,0
72515,1
83363,1
1874,0
45824,0
79222,1
99608,0
90529,0
122994,0
25985,1
60968,1
21882,1
8409,0
86372,1
3361,0
94028,3
103076,0
80012,0
98626,0
101302,0
101054,3
6407,0
52473,1
76552,0
65682,0
45059,0
52059,3
18392,0
79171,0
106575,0
49515,0
47736,0
17231,0
12500,0
49832,0
10816,0
29082,3
35801,0
120245,0
67848,1
48119,0
52388,1
24948,1
44147,3
94237,0
70423,1
47012,1
23264,1
119703,1
66793,0
12172,0
107672,0
7315,0
61484,0
53909,1
118170,3
87182,1
45910,0
41389,0
32710,0
35515,1
61253,0
74072,0
59395,1
16242,1
65037,1
10602,1
21143,0
116861,1
82007,1
59695,0
94655,1
44847,0
77053,1
113910,1
13512,3
1973,1
77281,0
79425,0
55840,0
61585,0
4810,3
99453,0
285,0
73187,1
82395,0
6598,1
52339,0
72511,1
53818,1
68537,0
78333,0
125749,1
96475,0
60389,1
38434,0
45400,1
89548,0
15250,1
63106,1
16820,1
101431,0
51284,1
60644,0
37374,0
94892,3
117263,0
106794,0
71391,0
120321,0
17480,0
95639,1
9787,1
86850,0
120087,0
86103,0
19181,0
113617,1
77866,0
42694,1
92583,0
106891,0
121444,0
71764,0
