,Chance_Of_Admit
56,0.64
228,0.71
281,0.8
487,0.79
221,0.75
449,0.79
424,0.91
378,0.56
25,0.94
230,0.73
181,0.71
437,0.61
155,0.77
42,0.53
405,0.52
276,0.89
278,0.66
479,0.79
226,0.63
313,0.67
418,0.6
411,0.56
324,0.67
22,0.94
326,0.63
46,0.86
31,0.74
114,0.59
335,0.83
275,0.78
407,0.58
57,0.46
256,0.76
24,0.97
17,0.65
173,0.89
66,0.61
406,0.61
415,0.76
95,0.42
149,0.79
472,0.9
23,0.95
235,0.88
373,0.79
194,0.77
5,0.9
117,0.45
45,0.88
16,0.66
468,0.81
357,0.68
3,0.8
401,0.66
391,0.71
60,0.48
111,0.69
318,0.79
263,0.7
29,0.54
295,0.68
186,0.84
26,0.76
7,0.68
453,0.73
109,0.68
37,0.58
158,0.61
466,0.71
119,0.71
115,0.66
182,0.68
177,0.82
145,0.81
369,0.67
380,0.78
312,0.78
209,0.68
212,0.95
445,0.91
142,0.92
452,0.93
67,0.57
205,0.57
169,0.65
375,0.38
348,0.57
341,0.79
110,0.61
444,0.92
146,0.75
93,0.44
153,0.79
358,0.7
395,0.82
83,0.92
436,0.58
166,0.65
292,0.56
200,0.73
223,0.71
74,0.74
308,0.69
211,0.82
245,0.81
120,0.94
282,0.81
299,0.71
250,0.74
354,0.59
400,0.63
336,0.72
251,0.7
229,0.82
383,0.62
442,0.92
36,0.64
197,0.73
140,0.84
364,0.77
239,0.59
285,0.93
315,0.65
59,0.42
112,0.62
465,0.54
429,0.95
6,0.75
360,0.85
385,0.96
398,0.67
159,0.52
151,0.94
178,0.72
394,0.89
185,0.89
475,0.59
10,0.52
381,0.73
104,0.74
81,0.96
38,0.52
467,0.78
168,0.64
489,0.65
402,0.78
423,0.94
199,0.72
297,0.86
477,0.65
254,0.85
195,0.78
89,0.74
147,0.83
164,0.81
417,0.52
393,0.77
148,0.96
306,0.79
287,0.89
124,0.57
397,0.91
97,0.86
144,0.8
240,0.6
273,0.52
98,0.9
497,0.93
123,0.61
184,0.72
203,0.97
247,0.71
305,0.74
298,0.9
351,0.73
300,0.62
396,0.84
319,0.8
126,0.85
302,0.65
224,0.67
419,0.58
220,0.76
130,0.96
421,0.77
484,0.73
367,0.57
377,0.47
291,0.56
355,0.73
474,0.67
366,0.74
432,0.86
113,0.72
180,0.71
447,0.84
339,0.81
330,0.8
481,0.78
359,0.81
234,0.91
311,0.84
165,0.78
137,0.71
198,0.7
259,0.9
233,0.64
116,0.56
121,0.94
349,0.62
225,0.61
403,0.91
337,0.94
128,0.84
286,0.92
412,0.59
108,0.93
370,0.72
325,0.81
134,0.89
363,0.69
44,0.91
460,0.77
65,0.55
284,0.94
85,0.76
243,0.76
187,0.93
384,0.96
160,0.57
12,0.78
35,0.88
28,0.46
171,0.89
143,0.97
399,0.95
342,0.58
222,0.76
96,0.48
51,0.56
241,0.65
372,0.95
379,0.71
179,0.73
41,0.49
433,0.71
207,0.66
283,0.8
255,0.79
413,0.49
4,0.65
257,0.78
454,0.71
101,0.64
227,0.64
428,0.69
214,0.94
172,0.86
99,0.79
293,0.64
216,0.91
61,0.47
47,0.89
32,0.91
268,0.83
328,0.8
201,0.72
471,0.64
27,0.44
425,0.92
231,0.74
261,0.71
289,0.79
163,0.68
426,0.71
139,0.78
62,0.54
136,0.76
129,0.92
476,0.62
8,0.5
327,0.69
463,0.57
64,0.52
301,0.66
14,0.61
157,0.65
40,0.46
382,0.82
459,0.89
414,0.72
217,0.85
280,0.68
434,0.64
430,0.74
338,0.81
237,0.86
208,0.64
213,0.96
296,0.76
457,0.37
252,0.71
488,0.76
458,0.69
304,0.62
352,0.64
270,0.72
202,0.97
162,0.67
43,0.87
218,0.84
404,0.62
191,0.87
310,0.76
260,0.87
106,0.87
53,0.72
392,0.84
1,0.76
441,0.79
482,0.83
49,0.78
422,0.73
80,0.5
206,0.63
34,0.94
264,0.75
368,0.51
91,0.38
340,0.75
473,0.67
52,0.78
346,0.47
265,0.71
242,0.7
13,0.62
316,0.54
88,0.64
390,0.64
274,0.58
167,0.64
329,0.43
492,0.53
135,0.82
307,0.8
480,0.8
320,0.75
244,0.63
54,0.7
365,0.86
50,0.76
456,0.51
175,0.85
448,0.8
190,0.9
496,0.96
188,0.93
170,0.68
58,0.36
48,0.82
345,0.49
236,0.85
253,0.93
21,0.7
314,0.66
462,0.62
161,0.53
277,0.7
446,0.93
192,0.86
388,0.49
294,0.61
416,0.65
344,0.47
258,0.77
309,0.7
150,0.93
131,0.77
152,0.86
361,0.93
100,0.71
374,0.39
87,0.66
461,0.68
331,0.73
215,0.93
469,0.86
122,0.57
499,0.84
20,0.64
189,0.88
71,0.96
107,0.91
271,0.54
350,0.74
438,0.67
103,0.57
