,loan_status
0,0
1,0
2,0
3,0
4,1
5,0
6,0
7,0
8,0
9,0
12,0
14,0
15,0
16,0
19,0
20,0
21,0
23,0
24,0
26,1
27,0
28,0
29,0
30,0
31,0
33,0
34,0
37,0
38,0
39,0
42,0
43,0
44,0
45,0
46,0
47,0
48,1
50,0
52,0
53,0
54,1
56,0
59,0
60,0
61,0
63,0
64,0
66,0
67,0
68,0
69,1
70,0
71,0
72,1
73,0
74,0
75,0
77,0
79,0
80,0
81,1
82,1
83,0
84,1
85,0
86,0
90,0
93,0
94,0
102,0
104,0
105,0
108,0
110,0
111,0
112,0
113,0
115,0
116,0
117,0
118,0
120,0
123,1
126,0
127,0
129,0
136,0
137,0
140,0
141,0
142,0
144,1
146,0
147,0
148,0
149,1
150,0
151,0
152,0
156,0
157,1
158,0
159,0
160,0
161,1
162,0
164,0
165,0
166,0
167,0
169,0
171,1
173,1
174,1
175,0
178,1
180,0
181,1
182,0
184,0
185,0
186,0
189,0
190,0
192,0
193,0
194,0
196,0
197,1
198,0
199,0
200,0
201,1
203,1
205,0
207,0
208,0
209,0
210,0
212,0
213,0
214,1
215,0
217,0
220,0
222,1
224,0
225,0
226,0
227,0
229,0
230,0
231,0
232,1
233,0
234,0
237,0
241,0
242,0
244,0
248,0
249,1
251,1
254,0
256,0
257,0
258,0
259,0
260,1
261,0
262,0
263,0
264,1
265,0
266,1
267,0
268,0
270,0
271,0
272,0
273,0
279,0
280,0
282,0
287,0
288,0
292,0
293,0
294,0
296,0
298,0
299,0
300,0
303,0
304,0
305,0
307,0
308,0
314,0
316,0
317,1
319,0
320,0
321,0
324,0
325,0
326,0
328,0
329,0
331,0
332,0
333,0
335,1
337,0
338,0
340,0
341,0
342,0
343,0
347,0
349,0
353,1
356,0
357,0
359,1
360,0
362,0
363,0
365,0
367,0
368,0
369,0
370,1
371,0
372,0
375,0
377,0
378,0
382,0
384,0
385,0
387,1
388,0
389,1
392,0
393,0
394,1
396,0
397,0
398,0
400,0
404,0
406,0
409,1
410,0
414,0
415,0
416,0
418,0
419,0
420,0
424,0
425,1
426,1
429,0
430,0
431,0
432,1
433,0
434,0
435,1
436,0
437,0
438,1
439,0
440,0
441,0
444,0
445,0
447,0
448,0
449,0
451,0
452,0
453,1
456,0
457,0
458,0
459,0
461,0
462,0
463,1
464,0
465,0
468,1
471,1
472,0
473,0
475,0
476,0
478,1
479,0
480,0
482,0
485,0
488,0
490,0
491,0
492,0
494,0
495,0
496,0
499,0
500,1
503,0
504,0
505,0
507,0
509,0
511,1
513,0
514,0
516,0
517,0
520,0
521,0
523,0
525,0
527,0
528,0
529,0
533,0
534,0
535,1
537,1
538,0
539,0
540,1
543,0
544,0
545,0
546,1
547,1
548,1
549,0
553,0
554,0
556,0
557,0
558,0
559,0
560,0
561,0
563,0
564,1
565,0
568,0
571,0
572,0
573,0
576,1
577,0
578,0
579,1
580,0
582,1
583,0
585,0
588,0
589,0
591,1
592,1
593,0
597,0
598,0
599,0
600,0
601,0
603,0
606,0
610,0
611,0
612,0
613,1
614,0
615,0
616,1
617,0
621,1
622,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
633,0
634,0
635,0
636,0
641,0
643,0
644,0
646,1
647,0
649,0
650,0
651,0
652,0
653,1
654,0
655,0
658,1
659,0
660,0
661,0
663,0
664,1
665,0
667,0
668,0
669,0
670,1
671,0
672,1
673,0
674,0
676,0
677,0
678,0
681,0
683,0
684,1
685,0
687,0
689,0
690,0
692,0
694,0
696,0
698,0
700,1
701,0
702,0
703,0
706,1
707,1
710,0
711,0
712,0
713,1
715,1
716,0
723,0
725,0
727,0
729,0
731,0
732,0
734,1
738,1
739,0
741,0
742,0
744,1
745,0
748,1
750,0
752,0
754,0
755,0
757,0
760,0
761,1
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
771,0
772,0
773,0
775,0
776,0
777,0
778,0
779,1
780,0
782,1
783,0
785,1
786,0
788,0
789,0
790,0
791,1
792,0
794,0
795,0
796,0
797,0
799,0
800,0
802,0
804,0
805,0
809,1
811,0
812,0
814,0
815,0
819,0
820,0
823,0
824,0
825,1
828,0
829,0
830,0
831,0
832,0
833,0
834,0
836,0
838,0
840,0
841,0
842,1
