,loan_status
347357,1
302311,0
59391,1
155381,0
112877,0
86323,0
388903,1
373522,0
120744,1
18570,1
153216,0
39472,0
331667,0
59725,0
199656,0
67867,0
338738,0
188649,0
1441,1
123116,0
147039,1
179238,0
240266,1
376468,0
237091,0
22991,0
72125,0
277253,0
157316,0
169722,0
362640,0
308396,0
213176,0
217514,0
64690,0
134048,0
187330,0
358879,0
11728,0
288061,0
321578,0
105179,0
21229,1
172570,0
230733,0
250070,0
214963,0
280758,1
373077,0
80189,0
118110,0
372689,0
248403,0
233081,0
325551,0
292121,0
313755,0
160957,0
330521,1
380605,0
251493,0
161242,0
63932,0
163297,0
299355,0
72289,0
258207,0
348835,0
301937,0
121373,0
135377,1
219435,0
320590,0
269683,0
232112,0
70026,1
226260,0
345313,0
15072,0
186970,0
355287,0
336198,1
360468,0
37936,0
246091,0
160246,0
81075,0
338347,0
29496,0
98011,0
210879,0
157910,0
130874,0
55904,0
16631,0
119491,0
247435,0
260864,0
268425,1
243018,0
133784,0
318770,0
158671,0
271901,0
195469,0
166843,0
66846,0
260261,0
366877,1
85532,0
18508,0
33014,0
250761,0
392847,1
248309,0
199934,0
142125,0
379532,1
30512,0
368601,0
231371,0
210855,0
385147,0
98702,0
312878,0
393298,1
291548,0
390990,0
238713,0
133814,0
386778,0
355461,0
173863,1
35641,0
87331,0
395033,0
1210,0
387071,1
106865,0
178159,0
231586,0
129187,0
215227,0
60438,0
115732,0
317160,0
167252,0
665,0
37301,0
98869,1
74901,0
107057,0
274460,1
48304,1
344590,0
62045,0
190286,0
365234,0
146506,0
167456,0
252756,0
219758,0
157644,0
301798,1
91447,0
358688,1
72551,1
256607,0
25250,0
299244,1
194192,0
120477,0
310090,0
71501,0
226628,1
293958,0
352424,0
217117,0
114931,0
364186,1
68513,0
71807,0
385475,0
67182,0
283478,0
188554,0
276237,0
296184,0
57265,1
228121,0
392435,0
181595,1
64742,0
314262,0
39984,0
207032,1
73280,0
289696,0
154434,0
325872,0
219549,0
232810,1
133599,0
95512,1
10038,0
342164,0
135306,0
362704,1
279876,0
213095,0
377430,0
314878,0
120035,1
354556,0
29088,0
248019,0
289869,0
106641,1
258132,0
21377,0
32806,0
40742,1
345886,0
242645,1
58040,0
284593,0
277293,0
313277,0
88265,0
272326,0
104583,1
228260,0
35306,0
210619,0
27049,0
210468,0
171153,0
12891,0
21941,0
61135,0
286813,0
83254,0
26296,0
221881,0
254856,0
357232,0
366282,0
265683,0
130220,1
243642,0
64315,0
266942,0
70381,0
259079,1
260009,0
248128,1
1770,0
29541,1
227480,0
357063,0
290423,1
226488,0
230437,0
224030,0
372216,0
223717,0
104311,1
206563,0
245703,0
9196,0
49117,0
381154,0
373888,0
243176,0
300678,0
381700,0
290043,0
233590,0
299114,0
191973,0
273263,0
182515,0
312189,0
346610,0
111739,0
47611,1
83133,0
268516,0
124411,0
47272,1
181683,0
115139,0
344602,0
130891,1
78051,1
216169,1
142507,0
222845,0
24224,1
299603,0
47305,0
142813,0
206522,0
379070,0
279637,0
292443,0
100845,1
142783,0
28387,0
216944,0
137249,0
226394,0
25418,0
165905,0
219264,0
208998,0
126308,0
167515,0
248158,1
91288,0
49369,0
71482,0
193553,0
354177,0
391535,1
170267,0
272836,0
285547,1
45695,0
374311,0
385472,0
179157,0
254158,0
77789,0
61340,0
365339,1
2631,0
21709,0
292120,1
328216,0
9486,0
222123,0
165879,0
9676,0
114194,0
130075,0
364992,0
97018,0
383048,0
314329,0
215545,0
164500,0
273800,0
234503,0
98668,0
24864,0
59351,0
23522,0
158163,0
151293,0
180717,0
193270,0
342339,0
19516,0
380139,0
200947,0
1379,0
350252,0
184801,1
275979,0
41460,1
327052,0
224993,0
237111,0
7228,0
51541,1
121627,0
165268,0
37548,1
104266,0
51933,0
335114,0
310979,0
42659,1
310959,0
248852,0
129377,0
81226,0
199713,0
191208,0
394379,1
263491,0
389946,1
223163,0
315414,1
94428,0
122167,1
202219,0
237333,0
102021,1
220734,0
69128,1
159194,0
335125,0
92253,0
106930,0
291918,0
378989,0
275973,0
385751,0
35795,0
232271,0
5879,1
103820,0
165990,0
110481,0
161329,0
102449,0
384426,1
235126,0
18493,0
329575,0
145385,1
221586,0
26174,0
356619,0
325645,0
73705,0
215965,0
29045,1
124419,0
108350,0
160861,1
266500,0
327536,0
23628,0
310024,0
143611,0
302316,0
108226,1
3347,0
18832,0
305183,0
77255,0
143355,0
304564,0
251350,0
85283,0
305691,0
275051,0
283288,0
195409,0
335850,0
69944,0
264378,0
180521,0
142147,0
389638,0
349375,1
35233,1
187021,0
101248,1
57670,1
745,0
36402,1
58891,0
8732,0
127047,0
337476,0
61150,0
177119,1
98518,0
356895,0
330945,0
37724,1
117587,0
45074,1
254021,0
242948,0
18038,0
385415,0
320176,0
131626,1
201672,1
29620,0
151581,0
285970,0
316513,0
306996,0
67666,0
180704,0
390078,0
110651,0
384194,1
375441,0
125343,0
39084,0
39832,1
249280,0
265563,1
199346,1
337603,0
235204,0
207746,0
382220,1
59366,0
272320,0
243620,0
177381,0
376448,0
158329,0
256393,0
247548,0
380351,0
277709,0
34919,1
216579,0
241907,0
43669,0
347000,1
271291,0
241417,0
111930,0
352031,0
377166,0
297234,0
334135,0
47400,0
32291,1
230495,0
100347,0
294512,0
25502,0
274449,0
147520,0
127082,0
20913,0
242255,0
198856,0
162793,0
254447,1
105896,1
252442,0
290899,1
90994,0
295206,0
334345,0
326151,0
354289,0
312791,1
348212,0
61252,0
268237,0
91789,0
81219,0
74894,0
248118,1
244534,0
379144,1
128711,0
138242,1
382980,0
376268,1
194972,0
345141,1
102638,0
71,0
12288,0
91674,0
48945,0
158464,0
49074,1
265227,0
97006,0
66467,0
92911,0
381883,1
28642,0
179768,0
295888,0
103787,0
294368,0
277332,0
332979,0
151224,0
103299,0
127728,1
306101,1
364505,0
60443,0
163592,1
72621,0
239999,0
204977,0
202092,1
374641,1
88556,0
303119,1
292598,0
14594,1
253989,0
298326,0
52831,0
381961,0
351234,1
41537,0
230364,0
150706,0
2085,0
395399,1
66172,0
341544,1
69938,0
59008,0
94024,0
93302,1
26483,0
302897,0
368098,1
336905,0
203351,1
211771,0
387842,1
317631,0
389653,0
366583,0
343334,0
220322,0
105434,0
10539,0
238038,0
332569,1
60815,0
273144,0
273117,0
50920,0
255642,1
38123,0
367366,0
336958,0
394453,0
81798,0
110208,0
356715,0
94078,1
98674,1
375903,0
186916,1
307581,0
321176,1
263508,0
49038,1
120704,0
337448,0
347683,1
276802,0
7983,0
208473,1
302484,0
209909,0
232127,0
165920,1
371928,0
153529,1
38658,0
81517,0
89019,0
250576,0
3476,0
110846,0
153134,1
214237,1
154841,0
344042,0
87125,0
378381,0
169814,0
151091,0
51601,0
75838,0
340125,0
322534,0
59025,0
189573,1
191212,0
59911,0
384613,0
