,x,y,z
9318,0.04,0.03,1.0
18896,0.04,0.05,1.0
8871,0.04,0.02,1.0
18790,0.04,0.04,1.0
17362,0.04,0.03,1.0
1159,0.04,0.02,0.99
6494,0.04,0.02,1.0
8777,0.04,0.02,1.0
10439,0.04,0.05,1.0
18304,0.03,0.05,1.0
5425,0.03,0.05,1.01
8603,0.04,0.03,1.0
1925,0.03,0.05,1.0
10948,0.04,0.04,1.01
2460,0.03,0.04,1.01
9437,0.07,0.04,1.0
14134,0.04,0.02,1.0
7938,0.04,0.04,1.0
2530,0.04,0.05,1.01
14080,0.04,0.03,1.0
1687,0.03,0.05,1.0
5274,0.03,0.05,1.01
19485,0.06,0.1,1.02
5504,0.01,0.25,0.91
4465,0.04,0.05,1.0
18167,0.04,0.03,1.0
2398,0.04,0.05,1.01
8947,0.03,0.04,1.0
16521,0.04,-0.14,0.96
19026,0.04,0.04,1.0
15944,0.02,-0.07,0.94
12648,0.04,0.05,1.0
12003,0.04,0.03,1.0
19040,0.04,0.04,1.0
10380,0.04,0.05,1.0
2618,0.03,0.04,1.01
8229,0.03,0.04,1.01
8702,0.07,0.03,1.0
19333,0.04,0.05,1.01
12076,0.04,0.02,1.0
13699,0.04,0.05,1.01
19578,0.04,0.04,1.01
15648,0.04,0.04,1.0
19108,0.26,0.26,0.91
17349,0.04,0.03,1.0
1577,0.04,0.05,1.0
7813,0.04,0.04,1.0
4028,0.04,0.05,1.0
1585,0.04,0.05,1.0
1522,-0.02,-0.0,0.93
12785,0.04,0.05,1.0
1620,0.01,0.05,1.0
19472,0.0,0.04,0.86
492,0.06,0.0,0.97
13225,0.04,0.05,1.0
5953,0.04,0.02,1.0
11421,0.04,0.02,1.0
14071,0.04,0.03,1.0
9559,0.03,0.02,1.01
17800,0.03,0.03,1.01
1322,0.11,0.03,0.96
12323,0.02,0.03,1.0
316,0.04,0.03,1.0
6270,0.03,0.03,1.0
17134,0.04,0.03,1.0
11885,0.04,0.03,1.0
10300,0.04,0.04,1.0
3735,0.07,-0.43,0.9
6820,0.04,0.03,1.0
12211,0.04,0.03,1.0
19242,0.04,0.04,1.0
8337,0.04,0.03,1.0
15664,0.04,0.05,1.0
15231,0.15,-0.05,0.99
16836,0.04,0.03,1.01
17286,0.01,0.18,1.08
4165,0.04,0.05,1.0
9114,0.04,0.03,1.0
15392,0.09,-0.11,1.01
1272,0.01,0.02,1.06
11271,0.04,0.03,1.0
14327,0.04,0.02,1.0
2041,0.04,0.05,1.0
1024,0.04,0.03,1.0
10269,0.04,0.05,1.0
15311,0.04,0.05,1.0
6984,0.04,0.05,1.0
6531,0.0,0.04,0.99
266,0.04,0.03,1.0
17314,0.04,0.03,1.0
15456,0.05,-0.16,0.93
17108,0.04,0.03,1.01
9843,-0.03,0.0,0.91
14775,0.01,0.48,0.93
18769,0.25,0.0,0.91
2939,0.04,0.02,1.0
13616,0.04,0.04,1.0
5553,0.03,0.04,1.0
1956,0.04,0.05,1.0
8019,0.07,0.12,1.05
16053,0.04,0.0,0.98
6547,0.04,0.02,1.0
10976,0.04,0.04,1.01
2766,0.03,0.02,1.0
15926,0.03,0.04,1.0
11415,0.04,0.03,1.0
1265,0.12,-0.0,0.98
18182,-0.02,0.38,0.9
2554,0.03,0.05,1.01
3744,0.04,-0.39,0.88
10835,0.04,0.04,1.0
3501,0.04,0.02,1.0
14305,0.04,0.02,1.0
2527,0.04,0.05,1.01
9166,0.04,0.03,1.0
16760,0.19,0.12,1.0
5448,0.0,0.1,1.06
7509,0.02,0.08,1.02
17709,0.04,0.02,1.0
12895,0.04,0.05,1.0
15443,0.02,0.05,1.0
852,0.05,0.01,0.99
8231,0.04,0.04,1.01
18235,0.04,0.04,1.0
4915,0.04,0.04,1.01
16267,0.04,0.05,1.01
11566,0.04,0.03,1.0
11765,0.03,0.07,1.04
19802,0.04,0.04,1.01
5229,0.04,0.04,1.01
7860,0.03,0.05,1.01
5446,-0.0,0.15000000000000002,0.95
12988,0.04,0.04,1.0
12062,0.04,0.03,1.0
7524,0.04,0.04,1.0
2713,0.04,0.02,1.0
5891,0.07,0.06,0.99
6822,0.04,0.03,1.0
4910,0.04,0.05,1.01
18342,0.04,0.04,1.0
12461,0.04,0.05,1.0
16684,0.04,0.03,1.0
4807,0.04,0.04,1.0
13084,0.05,0.05,0.93
8480,0.04,0.03,1.0
759,0.04,0.02,1.0
10072,0.04,0.07,1.02
13140,0.03,0.03,0.92
12124,0.04,0.02,1.0
5765,0.04,0.03,1.0
14050,0.06,0.02,0.95
14498,0.04,0.02,1.0
3752,0.04,0.02,1.0
3555,0.03,0.04,1.0
4973,0.04,0.04,1.01
1325,0.06,0.03,1.0
18646,0.04,0.04,1.0
10625,0.0,0.07,0.93
5812,0.04,0.03,1.0
19683,0.04,0.05,1.01
897,0.03,0.04,0.97
18952,0.04,0.04,1.0
12989,0.04,0.04,1.0
7885,0.03,0.03,1.02
1227,0.04,0.05,1.0
11641,0.04,0.03,1.0
2316,0.04,0.04,1.01
1184,0.04,0.05,1.0
