,gesture_name
9318,3
18896,6
8871,3
18790,6
17362,6
1159,0
6494,2
8777,3
10439,3
18304,6
5425,1
8603,3
1925,0
10948,3
2460,0
9437,3
14134,5
7938,2
2530,0
14080,5
1687,0
5274,1
19485,6
5504,2
4465,1
18167,6
2398,0
8947,3
16521,5
19026,6
15944,5
12648,4
12003,4
19040,6
10380,3
2618,0
8229,2
8702,3
19333,6
12076,4
13699,4
19578,6
15648,5
19108,6
17349,6
1577,0
7813,2
4028,1
1585,0
1522,0
12785,4
1620,0
19472,6
492,0
13225,4
5953,2
11421,4
14071,5
9559,3
17800,6
1322,0
12323,4
316,0
6270,2
17134,6
11885,4
10300,3
3735,1
6820,2
12211,4
19242,6
8337,3
15664,5
15231,5
16836,6
17286,6
4165,1
9114,3
15392,5
1272,0
11271,4
14327,5
2041,0
1024,0
10269,3
15311,5
6984,2
6531,2
266,0
17314,6
15456,5
17108,6
9843,3
14775,5
18769,6
2939,1
13616,4
5553,2
1956,0
8019,2
16053,5
6547,2
10976,3
2766,1
15926,5
11415,4
1265,0
18182,6
2554,0
3744,1
10835,3
3501,1
14305,5
2527,0
9166,3
16760,6
5448,1
7509,2
17709,6
12895,4
15443,5
852,0
8231,2
18235,6
4915,1
16267,5
11566,4
11765,4
19802,6
5229,1
7860,2
5446,1
12988,4
12062,4
7524,2
2713,1
5891,2
6822,2
4910,1
18342,6
12461,4
16684,6
4807,1
13084,4
8480,3
759,0
10072,3
13140,4
12124,4
5765,2
14050,5
14498,5
3752,1
3555,1
4973,1
1325,0
18646,6
10625,3
5812,2
19683,6
897,0
18952,6
12989,4
7885,2
1227,0
11641,4
2316,0
1184,0
16239,5
17121,6
15841,5
19009,6
2904,1
13726,4
16728,6
9075,3
14716,5
6772,2
18822,6
2116,0
4720,1
13159,4
765,0
15322,5
18094,6
19501,6
7300,2
9725,3
16037,5
15895,5
7284,2
11190,3
13536,4
9690,3
14101,5
947,0
1276,0
10334,3
8020,2
6160,2
14898,5
13662,4
13502,4
17661,6
19609,6
13814,4
14992,5
4644,1
14616,5
16912,6
7864,2
9971,3
2823,1
5822,2
13768,4
9127,3
16469,5
17793,6
15994,5
15396,5
7439,2
3455,1
2123,0
1328,0
17769,6
4297,1
15457,5
1461,0
8596,3
7934,2
3107,1
17455,6
14663,5
13079,4
11464,4
16601,5
18807,6
14396,5
18306,6
12059,4
3563,1
1588,0
1397,0
4811,1
7217,2
9873,3
7610,2
18984,6
15212,5
16468,5
14790,5
15103,5
10903,3
5231,1
7590,2
8879,3
12048,4
18047,6
13615,4
11085,3
15887,5
3420,1
10338,3
15379,5
13155,4
14045,5
12822,4
18713,6
3108,1
5878,2
18464,6
16105,5
7227,2
12125,4
14281,5
2090,0
14438,5
373,0
2186,0
12370,4
12249,4
14779,5
4322,1
13254,4
19685,6
15959,5
16047,5
16576,5
16473,5
587,0
4384,1
15068,5
8318,3
17017,6
8301,2
17015,6
18485,6
3261,1
9102,3
1486,0
8479,3
13283,4
4354,1
6746,2
450,0
5876,2
5148,1
12159,4
3814,1
8950,3
16782,6
10900,3
17891,6
3362,1
17047,6
17043,6
12566,4
18880,6
8017,2
12065,4
18740,6
1491,0
19582,6
3857,1
11549,4
11752,4
15499,5
19264,6
3022,1
7145,2
9785,3
469,0
27,0
12536,4
14012,5
15941,5
16784,6
806,0
18294,6
16493,5
4876,1
4776,1
19091,6
19261,6
10844,3
3473,1
1145,0
8945,3
2761,1
18411,6
10690,3
17357,6
14531,5
10226,3
17543,6
15699,5
17892,6
1208,0
135,0
3654,1
5515,2
14175,5
