x,y,z
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.01
0.04,0.03,1.00
0.04,0.04,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.03,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.03,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.03,0.03,1.00
0.05,0.01,0.98
0.05,0.06,1.05
0.05,0.09,0.98
0.05,0.09,0.94
0.07,0.12,1.00
0.05,0.18,0.98
0.03,0.21,1.01
0.18,-0.09,0.99
-0.10,-0.05,1.06
0.20,-0.12,0.62
0.04,0.13,1.01
0.17,-0.26,0.78
0.15,0.06,1.04
0.14,-0.05,1.00
0.16,0.13,1.03
0.19,-0.05,0.94
0.14,-0.12,0.99
0.16,-0.05,0.97
0.16,-0.03,0.96
0.17,-0.03,0.93
0.11,-0.11,1.03
0.14,0.05,0.95
0.13,0.11,1.01
0.13,0.03,1.00
0.12,0.07,0.95
0.10,0.09,0.94
0.05,0.09,1.01
0.02,0.08,1.06
0.02,0.05,1.01
0.04,0.04,1.04
0.01,0.00,0.95
0.05,0.02,1.01
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.01
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.03,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.06,0.02,1.00
0.05,0.01,1.00
-0.02,0.02,1.05
0.11,0.17,1.06
-0.01,0.07,0.92
0.29,0.04,0.82
0.27,0.14,1.00
0.14,-0.00,0.76
0.17,-0.04,0.95
0.16,-0.14,0.95
0.11,0.03,1.05
0.18,0.01,0.89
0.16,-0.18,0.96
0.17,-0.02,0.95
0.20,-0.04,1.06
0.20,0.07,0.94
0.18,0.12,0.89
0.17,0.04,0.99
0.05,0.15,1.02
0.04,0.21,0.98
0.01,0.12,1.04
0.08,0.12,0.98
0.06,-0.09,1.04
0.04,0.05,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.03,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.04,1.00
0.04,0.03,1.00
0.03,0.02,1.00
0.04,0.04,1.02
-0.02,0.02,0.98
0.09,0.25,0.92
0.02,0.16,0.80
0.22,-0.09,0.80
0.12,0.15,1.02
0.18,-0.19,0.89
0.21,-0.12,1.09
0.23,-0.02,0.88
0.19,-0.09,0.96
0.20,-0.05,1.02
0.18,-0.11,1.00
0.09,-0.08,1.05
0.17,0.02,0.95
0.18,0.09,1.02
0.14,0.27,0.93
0.13,0.15,0.86
0.05,0.06,1.01
0.06,0.02,0.95
0.02,0.11,1.00
0.06,0.07,0.99
0.02,-0.00,0.99
0.05,0.02,1.00
0.05,-0.02,0.99
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.05,0.07,1.00
0.04,0.04,1.00
0.03,0.03,1.00
0.02,0.03,0.99
-0.02,0.16,1.08
-0.12,0.27,1.05
0.25,0.04,0.79
0.11,0.25,1.15
0.21,-0.24,1.05
0.13,-0.30,0.92
0.12,0.09,1.07
0.12,-0.15,0.91
0.11,-0.05,1.03
0.13,-0.20,0.97
0.11,-0.05,0.96
0.15,0.19,0.80
0.15,-0.24,0.97
0.17,0.51,1.17
0.12,0.00,0.92
0.07,0.05,0.98
0.04,0.02,1.06
0.04,-0.06,1.34
0.06,0.07,0.99
0.05,0.02,1.01
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.03,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.03,0.06,0.99
0.02,0.01,1.01
-0.00,0.04,1.02
0.01,0.09,1.07
0.11,0.25,1.11
0.09,-0.04,0.81
0.21,0.00,1.01
0.11,-0.12,0.91
0.09,-0.49,1.12
0.05,0.04,1.06
0.14,-0.10,0.96
0.14,-0.09,0.96
0.11,-0.19,1.12
0.18,-0.11,0.97
0.18,-0.02,1.04
0.25,-0.00,0.92
0.21,0.12,0.99
0.18,0.21,1.10
0.22,0.07,0.96
0.13,0.08,0.80
0.05,0.04,1.16
0.07,0.02,1.10
0.05,0.04,1.00
0.04,0.02,1.00
0.01,0.04,1.04
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.05,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.01
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.02,0.00,1.00
0.01,0.04,1.00
-0.06,0.25,1.14
0.14,0.41,1.02
-0.09,0.16,1.22
0.14,-0.09,1.03
0.03,-0.26,0.93
0.05,0.12,1.23
0.14,-0.19,0.89
0.12,0.02,1.03
0.12,-0.04,1.00
0.11,-0.01,1.03
0.14,-0.11,0.99
0.12,-0.11,0.99
0.10,-0.18,0.94
0.13,0.02,1.01
0.24,0.27,0.90
0.18,0.12,0.87
0.08,0.11,0.93
0.06,0.09,1.08
0.04,0.07,1.01
0.07,0.02,1.08
0.06,0.04,1.00
0.01,0.07,1.05
0.03,0.02,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
