x,y,z
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.03,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.03,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.03,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.03,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.06,0.02,1.00
0.02,0.07,1.01
-0.08,0.12,1.06
-0.04,0.04,1.02
0.01,0.05,0.94
0.02,-0.00,0.98
0.06,0.03,0.93
0.06,-0.00,0.95
-0.00,0.00,0.96
0.04,0.59,0.97
0.01,0.99,0.63
0.12,0.95,0.28
0.12,0.98,-0.22
0.07,1.06,-0.26
0.08,1.03,-0.24
0.05,1.00,0.05
0.04,1.13,0.40
0.06,0.71,0.72
0.08,0.29,1.02
0.07,0.21,0.91
0.09,0.06,0.96
0.07,0.02,0.84
0.05,0.05,1.11
0.01,0.01,1.16
-0.05,0.04,1.01
-0.01,0.07,0.98
0.04,0.06,1.01
0.04,0.05,1.02
0.05,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.01,0.05,1.03
-0.02,-0.04,1.00
0.01,-0.01,0.99
0.02,0.00,0.86
0.05,-0.07,0.93
0.07,-0.05,0.96
0.06,-0.02,1.03
0.06,0.11,1.01
0.09,0.72,1.00
0.10,0.89,0.47
0.07,1.01,0.13
0.10,0.97,-0.14
0.05,1.04,-0.30
0.07,1.00,-0.21
0.03,1.02,-0.14
0.05,1.00,0.25
0.12,0.76,0.59
0.15,0.40,0.94
0.16,0.34,0.95
0.11,0.24,0.88
0.12,0.14,0.89
0.07,0.11,1.04
0.05,0.08,1.00
0.05,0.15,1.02
-0.03,0.06,1.02
-0.00,0.07,0.98
0.02,0.02,1.05
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.02,0.05,1.01
-0.05,0.01,1.02
-0.07,-0.04,0.87
-0.00,-0.01,0.96
0.01,0.00,0.97
0.04,-0.04,0.97
0.06,-0.04,0.97
0.06,0.00,1.01
0.01,0.27,1.02
0.08,0.66,0.76
0.07,0.87,0.43
0.08,1.01,0.04
0.08,0.96,-0.22
0.04,1.07,-0.29
0.04,1.05,-0.15
0.07,1.17,0.15
0.08,0.91,0.48
0.08,0.73,0.70
0.11,0.47,0.90
0.11,0.30,0.89
0.06,0.25,0.99
0.02,0.14,0.97
0.02,0.08,1.05
0.04,0.05,1.02
0.03,-0.01,0.95
0.04,0.04,0.98
0.04,0.06,1.00
0.06,0.03,0.96
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.03,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.03,0.05,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.03,0.04,1.00
0.02,0.04,1.02
-0.02,0.24,1.27
-0.01,0.11,1.03
0.02,0.11,0.97
0.06,0.02,0.99
0.07,0.07,1.00
0.10,0.65,0.84
0.05,0.96,0.58
0.12,1.03,0.05
0.07,1.07,-0.19
0.09,1.00,-0.19
0.02,1.02,-0.18
0.04,1.02,0.27
0.14,0.82,0.63
0.09,0.59,0.83
0.13,0.39,0.90
0.09,0.29,0.83
0.05,0.23,0.99
0.02,0.19,1.02
0.04,0.06,1.02
-0.01,0.14,0.97
0.01,0.03,1.00
0.03,0.05,1.01
0.05,0.04,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.03,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.05,0.02,1.00
0.03,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.07,0.02,1.02
-0.03,0.20,1.04
-0.01,-0.03,1.05
0.02,0.02,0.96
0.03,0.00,0.96
0.04,0.00,0.98
0.07,0.01,0.97
0.08,0.01,0.98
0.06,0.02,0.99
0.07,0.02,1.02
0.08,0.02,1.02
0.09,0.11,1.07
0.11,0.42,0.89
0.10,0.81,0.63
0.08,0.96,0.17
0.04,1.02,-0.14
0.04,0.99,-0.24
0.04,1.01,-0.20
0.07,1.07,0.20
0.10,0.71,0.64
0.10,0.57,1.04
0.09,0.25,1.06
0.07,0.04,1.00
0.05,0.10,0.95
0.06,0.07,0.95
0.08,0.13,1.00
0.02,0.02,1.01
-0.03,0.06,1.00
0.03,0.04,0.98
0.05,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.03,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.01
0.03,0.05,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.03,0.04,1.00
0.02,0.05,1.07
-0.01,-0.04,1.10
0.00,0.02,1.05
0.03,0.01,1.01
0.05,-0.07,0.98
0.07,-0.09,1.00
0.10,0.00,0.98
0.09,0.03,1.01
0.08,0.29,0.92
0.07,0.78,0.76
0.14,0.91,0.47
0.07,0.88,-0.08
0.12,0.94,-0.16
0.08,0.95,-0.28
0.09,1.02,-0.23
0.11,1.08,-0.08
0.09,0.95,0.24
0.11,0.81,0.66
0.13,0.46,0.96
0.12,0.27,0.94
0.06,0.19,0.88
0.06,0.16,1.01
-0.00,0.13,1.02
0.05,0.08,1.02
-0.00,0.04,1.02
-0.03,0.05,1.09
0.01,-0.01,1.01
0.03,0.05,1.00
0.04,0.05,1.00
0.03,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.03,0.04,1.00
0.02,0.03,1.05
-0.01,-0.06,1.07
-0.02,0.01,1.02
0.00,0.04,1.00
-0.01,-0.02,1.00
0.04,0.02,0.97
0.06,0.01,0.98
0.04,0.05,0.99
0.06,0.29,0.98
0.05,0.63,0.90
0.12,0.86,0.62
0.08,1.06,0.26
0.09,1.00,-0.10
0.09,1.12,-0.22
0.07,1.04,-0.32
0.10,1.07,-0.10
0.08,0.96,-0.08
0.13,0.95,0.32
0.12,0.85,0.52
0.15,0.57,0.79
0.14,0.42,0.92
0.14,0.35,0.95
0.11,0.25,0.94
0.13,0.20,0.93
0.11,0.19,0.99
0.08,0.11,1.00
0.04,0.08,1.01
0.00,0.06,0.99
-0.03,0.11,1.00
0.01,0.07,0.98
0.05,0.05,1.00
0.04,0.05,1.00
0.03,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.03,0.05,1.00
0.01,0.04,1.02
-0.04,-0.09,1.12
-0.02,-0.01,1.03
0.00,0.00,1.07
0.00,0.01,1.00
0.03,0.02,0.97
0.07,0.07,0.98
0.08,0.05,0.95
0.07,0.12,1.00
0.05,0.30,0.94
0.05,0.47,0.95
0.07,0.93,0.62
0.10,1.11,0.27
0.15,1.14,0.00
0.12,0.99,-0.22
0.14,0.91,-0.25
0.13,0.99,-0.18
0.12,1.15,0.08
0.12,1.01,0.34
0.13,0.80,0.65
0.16,0.64,0.80
0.13,0.38,0.94
0.12,0.22,0.96
0.11,0.18,0.93
0.11,0.18,0.96
0.04,0.09,1.01
0.05,0.11,1.00
0.01,0.11,1.07
0.04,0.02,1.02
0.01,0.01,1.00
-0.00,0.04,1.04
0.03,0.05,1.01
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.01
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.03,0.05,1.00
