x,y,z
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.05,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.05,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.02,0.06,1.00
0.01,-0.04,1.08
0.04,0.09,1.06
0.12,0.06,0.95
0.18,0.06,1.04
0.29,0.12,1.03
0.45,0.17,0.80
0.67,0.14,0.75
0.78,0.09,0.54
0.88,0.02,0.60
0.90,0.06,0.36
0.99,0.15,0.31
0.93,0.05,0.24
0.91,0.06,0.27
0.91,0.05,0.56
0.80,0.12,0.64
0.66,0.11,0.52
0.49,0.09,0.87
0.36,0.14,1.05
0.29,0.18,0.98
0.23,0.12,0.91
0.15,0.08,1.08
0.12,0.07,1.03
0.07,0.04,0.95
0.07,0.05,0.84
-0.02,0.10,0.96
0.05,0.05,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.02,0.05,0.97
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.07,0.96
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.02,0.05,1.00
0.02,0.01,1.09
0.02,0.07,1.08
0.05,0.10,1.02
0.16,-0.03,1.10
0.25,0.03,0.88
0.37,-0.02,0.86
0.56,-0.04,0.68
0.79,-0.03,0.62
0.94,0.05,0.62
0.88,0.18,0.26
1.01,-0.01,0.06
0.98,-0.00,0.14
0.91,0.09,0.05
0.96,0.02,0.40
0.67,0.01,0.41
0.54,0.16,1.01
0.42,0.11,0.97
0.29,0.09,0.92
0.17,0.08,1.11
0.11,0.09,0.97
0.10,0.06,0.97
0.07,0.06,1.00
0.05,0.05,1.00
0.01,0.04,1.03
0.03,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.03,0.05,1.00
0.04,0.05,1.00
0.03,0.05,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.05,1.01
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.01
-0.01,0.04,1.14
0.06,0.04,1.03
0.13,0.10,0.89
0.26,-0.02,0.91
0.33,0.01,0.98
0.58,0.05,0.76
0.70,0.15,0.80
0.77,-0.04,0.60
0.87,0.16,0.39
0.99,0.12,0.34
0.94,0.07,-0.02
1.02,0.12,0.18
0.96,-0.01,0.11
1.02,0.00,0.17
0.97,0.11,0.37
0.87,0.07,0.44
0.66,0.02,0.51
0.53,0.18,0.95
0.35,0.18,1.06
0.22,0.07,0.99
0.12,0.11,1.01
0.10,0.08,1.04
0.10,0.06,0.99
0.04,0.05,1.01
0.05,0.05,1.02
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.02,0.05,1.00
0.00,0.04,1.05
0.00,0.05,1.02
0.02,0.07,0.96
0.09,0.00,0.96
0.16,0.03,1.04
0.23,-0.11,1.01
0.40,0.09,0.85
0.62,0.08,0.83
0.75,0.02,0.63
0.84,0.05,0.49
0.91,0.16,0.21
1.03,0.14,0.19
1.00,-0.01,0.17
0.98,-0.02,0.07
0.94,0.02,-0.07
0.98,0.05,0.28
0.98,0.08,0.58
0.77,0.03,0.51
0.50,0.14,0.82
0.42,0.18,0.97
0.23,0.10,0.95
0.15,0.09,1.12
0.10,0.09,1.00
0.05,0.19,0.96
0.05,0.06,0.93
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.03,0.05,1.01
0.01,0.02,1.08
0.06,0.06,1.11
0.16,0.06,1.02
0.31,0.06,0.97
0.50,0.12,0.88
0.63,0.08,0.73
0.80,0.14,0.68
0.88,0.08,0.55
0.96,0.07,0.36
0.95,0.09,0.13
1.00,0.01,0.06
0.96,0.02,-0.09
1.00,-0.00,-0.11
0.95,-0.02,-0.12
1.00,-0.01,0.05
0.88,0.05,0.13
0.87,0.05,0.57
0.71,0.09,0.57
0.53,0.19,0.89
0.34,0.16,1.04
0.18,0.14,1.00
0.10,0.08,0.94
0.08,0.09,1.03
0.04,0.04,1.04
0.00,0.08,1.01
0.04,0.06,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.02,0.04,1.00
0.00,0.06,1.00
0.04,0.04,1.11
0.08,0.04,0.98
0.19,0.00,1.02
0.30,0.05,0.99
0.46,0.08,0.93
0.61,0.11,0.77
0.71,0.10,0.70
0.86,0.10,0.60
0.92,0.05,0.39
0.95,0.07,0.33
0.91,0.00,0.13
1.07,0.16,0.05
1.00,0.01,-0.04
1.03,0.05,-0.03
1.02,-0.02,0.01
0.95,0.07,0.13
0.89,0.04,0.30
0.76,0.02,0.59
0.65,0.08,0.78
0.51,0.11,0.95
0.31,0.05,0.93
0.23,0.08,1.03
0.16,0.08,1.02
0.09,0.08,0.98
0.11,0.01,1.05
0.07,0.06,0.92
0.04,0.04,1.00
0.04,0.04,1.02
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.03,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.03,0.05,1.00
0.03,0.06,1.02
0.05,0.09,1.02
0.14,0.07,1.03
0.26,0.07,0.96
0.38,0.02,0.92
0.56,0.08,0.86
0.73,0.11,0.68
0.79,0.05,0.63
0.89,0.08,0.48
0.92,0.05,0.34
0.99,0.11,0.28
1.02,0.02,0.13
0.97,0.04,0.08
1.00,0.03,-0.05
1.03,0.02,0.06
0.99,0.03,0.20
0.89,0.06,0.26
0.75,0.06,0.52
0.68,0.09,0.84
0.46,0.05,0.73
0.31,0.11,1.16
0.21,0.14,0.96
0.12,0.12,0.99
0.09,0.12,0.98
0.09,0.14,1.18
0.05,0.05,1.00
0.02,0.05,1.00
0.02,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.01
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.04,1.01
0.04,0.05,1.00
0.03,0.04,1.00
0.03,0.05,1.00
0.05,0.02,1.16
0.07,0.04,1.04
0.16,0.05,0.97
0.24,0.02,1.01
0.35,0.02,0.96
0.48,0.09,0.88
0.60,0.07,0.82
0.76,0.10,0.74
0.85,0.03,0.61
0.90,0.02,0.35
0.95,0.06,0.16
1.00,0.02,0.13
1.00,0.02,0.06
0.98,0.02,-0.04
0.93,0.02,-0.11
1.02,0.02,0.24
0.98,0.11,0.44
0.87,0.17,0.57
0.61,0.19,0.49
0.51,0.14,0.92
0.36,0.12,0.91
0.18,0.12,1.05
0.11,0.15,1.01
0.06,0.11,1.00
0.03,0.12,1.02
0.04,0.07,0.96
0.02,0.03,1.01
0.05,0.04,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
