x,y,z
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.03,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.03,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.03,0.05,1.02
0.04,0.05,1.00
0.07,-0.09,1.14
0.14,-0.22,1.07
0.23,-0.13,0.88
0.20,0.13,0.84
0.24,0.30,0.88
0.25,0.14,1.04
0.23,0.30,0.94
0.20,0.25,0.98
0.19,-0.03,1.05
0.19,0.36,0.96
0.23,0.22,0.98
0.25,0.00,0.91
0.18,-0.11,0.84
0.17,-0.11,1.05
0.10,-0.11,0.98
0.06,-0.11,1.05
0.03,-0.07,0.92
0.04,0.03,0.99
0.03,0.04,0.98
0.02,0.04,1.00
0.05,0.07,0.98
0.04,0.06,1.02
0.04,0.06,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.06,0.04,1.00
0.05,0.02,1.03
0.05,-0.20,1.10
0.10,-0.19,1.04
0.12,0.04,0.91
0.18,0.16,0.99
0.24,0.28,0.94
0.25,0.11,0.98
0.25,0.17,1.03
0.20,0.25,0.95
0.17,0.29,0.97
0.23,0.19,0.93
0.24,0.26,0.93
0.25,0.18,0.97
0.27,0.01,0.93
0.25,-0.06,1.01
0.17,-0.20,0.96
0.12,-0.17,0.96
