,x,y,z,subject
0,0.04,0.02,1.0,1
1,0.04,0.02,1.0,1
2,0.04,0.02,1.0,1
3,0.04,0.02,1.0,1
4,0.04,0.02,1.0,1
5,0.04,0.02,1.0,1
6,0.04,0.02,1.0,1
7,0.04,0.02,1.0,1
8,0.04,0.02,1.0,1
9,0.04,0.02,1.0,1
10,0.04,0.02,1.0,1
11,0.04,0.02,1.0,1
12,0.04,0.02,1.0,1
13,0.04,0.02,1.0,1
14,0.04,0.02,1.0,1
15,0.04,0.02,1.0,1
16,0.04,0.02,1.0,1
17,0.04,0.02,1.0,1
18,0.04,0.02,1.0,1
19,0.04,0.02,1.0,1
20,0.04,0.02,1.0,1
21,0.04,0.02,1.0,1
22,0.04,0.02,1.0,1
23,0.04,0.02,1.0,1
24,0.04,0.02,1.0,1
25,0.04,0.02,1.0,1
26,0.04,0.02,1.0,1
27,0.04,0.02,1.0,1
28,0.04,0.02,1.0,1
29,0.04,0.02,1.0,1
30,0.04,0.02,1.0,1
31,0.04,0.02,1.0,1
32,0.04,0.02,1.0,1
33,0.04,0.02,1.0,1
34,0.04,0.02,1.0,1
35,0.04,0.02,1.0,1
36,0.04,0.02,1.0,1
37,0.04,0.02,1.0,1
38,0.04,0.02,1.0,1
39,0.04,0.02,1.0,1
40,0.04,0.02,1.0,1
41,0.04,0.02,1.0,1
42,0.04,0.02,1.0,1
43,0.07,0.05,1.0,1
44,0.05,0.02,1.0,1
45,0.06,0.0,1.0,1
46,0.03,0.05,1.02,1
47,0.08,0.08,1.01,1
48,0.06,0.12,1.0,1
49,0.07,0.05,1.12,1
50,0.11,0.07,0.99,1
51,0.14,0.11,0.95,1
52,0.15,0.06,0.98,1
53,0.12,0.09,0.95,1
54,0.11,0.06,0.91,1
55,0.1,0.1,1.11,1
56,0.14,0.08,1.02,1
57,0.13,0.1,0.97,1
58,0.1,0.07,1.02,1
59,0.1,0.06,1.04,1
60,0.07,0.1,0.94,1
61,0.04,0.11,1.05,1
62,0.02,0.08,0.99,1
63,0.01,0.1,1.06,1
64,0.02,0.08,1.04,1
65,0.0,0.04,1.05,1
66,0.08,-0.01,1.0,1
67,0.03,0.0,1.0,1
68,0.02,0.04,1.02,1
69,0.04,0.02,1.0,1
70,0.04,0.02,1.0,1
71,0.04,0.02,1.0,1
72,0.04,0.02,1.0,1
73,0.04,0.02,1.0,1
74,0.04,0.02,1.0,1
75,0.04,0.02,1.0,1
76,0.04,0.02,1.0,1
77,0.04,0.02,1.0,1
78,0.04,0.02,1.0,1
79,0.04,0.02,1.0,1
80,0.04,0.02,1.0,1
81,0.04,0.03,1.0,1
82,0.04,0.02,1.0,1
83,0.04,0.02,1.0,1
84,0.04,0.02,1.0,1
85,0.04,0.02,1.0,1
86,0.04,0.02,1.0,1
87,0.04,0.02,1.0,1
88,0.04,0.02,1.0,1
89,0.04,0.02,1.0,1
90,0.04,0.02,1.0,1
91,0.04,0.02,1.0,1
92,0.04,0.02,1.0,1
93,0.04,0.03,1.0,1
94,0.04,0.02,1.0,1
95,0.04,0.02,1.0,1
96,0.04,0.02,1.0,1
97,0.04,0.02,1.0,1
98,0.04,0.02,1.0,1
99,0.04,0.02,1.0,1
100,0.04,0.02,1.0,1
101,0.04,0.03,1.0,1
102,0.03,0.03,1.0,1
103,0.04,0.02,1.0,1
104,0.04,0.02,1.0,1
105,0.04,0.02,1.0,1
106,0.04,0.02,1.0,1
107,0.03,0.02,1.0,1
108,0.04,0.03,1.03,1
109,-0.04,0.01,1.1,1
110,0.0,0.02,1.05,1
111,0.02,0.18,0.93,1
112,0.1,0.01,0.98,1
113,0.11,0.04,0.97,1
114,0.12,0.13,0.88,1
115,0.1,0.09,0.99,1
116,0.11,0.03,0.94,1
117,0.09,0.04,0.98,1
118,0.08,0.06,0.94,1
119,0.06,0.11,1.0,1
120,0.05,0.07,0.96,1
121,0.03,0.14,0.97,1
122,0.01,0.11,0.95,1
123,0.01,0.07,1.06,1
124,0.03,0.09,1.03,1
125,0.05,0.01,1.02,1
126,0.05,0.02,1.0,1
127,0.04,0.03,1.0,1
128,0.04,0.03,1.0,1
129,0.04,0.03,1.0,1
130,0.04,0.03,1.0,1
131,0.04,0.03,1.0,1
132,0.04,0.03,1.0,1
133,0.04,0.03,1.0,1
134,0.04,0.03,1.0,1
135,0.04,0.03,1.0,1
136,0.04,0.03,1.0,1
137,0.03,0.03,1.0,1
138,0.04,0.03,1.0,1
139,0.04,0.03,1.0,1
140,0.04,0.03,1.0,1
141,0.04,0.03,1.0,1
142,0.04,0.03,1.0,1
143,0.03,0.03,1.0,1
144,0.04,0.03,1.0,1
145,0.04,0.03,1.0,1
146,0.04,0.03,1.0,1
147,0.04,0.03,1.0,1
148,0.04,0.03,1.0,1
149,0.04,0.03,1.0,1
150,0.04,0.03,1.0,1
151,0.04,0.03,1.0,1
152,0.04,0.03,1.0,1
153,0.04,0.03,1.0,1
154,0.04,0.03,1.0,1
155,0.04,0.03,1.0,1
156,0.04,0.03,1.0,1
157,0.04,0.02,1.0,1
158,0.04,0.03,1.0,1
159,0.04,0.03,1.0,1
160,0.04,0.03,1.0,1
161,0.04,0.03,1.0,1
162,0.04,0.03,1.0,1
163,0.04,0.03,1.0,1
164,0.04,-0.02,1.0,1
165,0.04,0.02,1.0,1
166,0.06,0.02,1.06,1
167,0.03,0.0,0.95,1
168,0.04,0.08,0.94,1
169,0.03,0.07,1.01,1
170,0.07,0.16,1.01,1
171,0.12,0.15,1.01,1
172,0.14,0.12,0.84,1
173,0.14,0.13,0.98,1
174,0.12,0.15,0.98,1
175,0.11,0.09,0.96,1
176,0.09,0.07,0.94,1
177,0.06,0.11,1.06,1
178,0.04,0.07,1.01,1
179,0.02,0.08,1.0,1
180,0.02,0.05,1.0,1
181,0.0,0.07,0.99,1
182,0.02,0.03,1.02,1
183,0.05,0.03,0.98,1
184,0.07,-0.02,1.0,1
185,0.06,0.08,1.0,1
186,0.04,0.03,1.0,1
187,0.03,0.03,1.0,1
188,0.04,0.03,1.0,1
189,0.04,0.03,1.0,1
190,0.04,0.03,1.01,1
191,0.04,0.03,1.0,1
192,0.04,0.03,1.0,1
193,0.04,0.03,1.0,1
194,0.04,0.03,1.0,1
195,0.04,0.03,1.0,1
196,0.04,0.03,1.0,1
197,0.04,0.03,1.0,1
198,0.04,0.03,1.0,1
199,0.04,0.02,1.0,1
200,0.04,0.03,1.0,1
201,0.04,0.02,1.0,1
202,0.04,0.02,1.0,1
203,0.04,0.02,1.0,1
204,0.04,0.03,1.0,1
205,0.04,0.03,1.0,1
206,0.04,0.03,1.0,1
207,0.04,0.03,1.0,1
208,0.04,0.03,1.0,1
209,0.04,0.03,1.0,1
210,0.04,0.03,1.0,1
211,0.04,0.03,1.0,1
212,0.03,0.03,1.0,1
213,0.03,0.03,1.0,1
214,0.04,0.03,1.0,1
215,0.04,0.03,1.0,1
216,0.04,0.03,1.0,1
217,0.04,0.03,1.0,1
218,0.04,0.03,1.0,1
219,0.04,0.03,1.0,1
220,0.04,0.03,1.0,1
221,0.04,0.04,1.0,1
222,0.04,0.03,1.0,1
223,0.04,0.03,1.0,1
224,0.04,0.02,1.0,1
225,0.02,0.0,1.0,1
226,0.03,0.06,1.0,1
227,0.01,0.03,1.08,1
228,-0.01,0.02,0.86,1
229,-0.0,0.05,1.0,1
230,0.01,-0.03,1.0,1
231,0.05,0.07,1.01,1
232,0.08,0.09,0.98,1
233,0.07,0.06,0.96,1
234,0.09,0.08,0.96,1
235,0.08,0.06,1.0,1
236,0.1,0.06,1.01,1
237,0.11,0.06,1.01,1
238,0.08,0.08,0.94,1
239,0.07,0.04,0.99,1
240,0.07,0.07,0.95,1
241,0.07,0.15,1.07,1
242,0.03,0.18,1.09,1
243,0.02,0.1,1.0,1
244,0.02,0.09,1.01,1
