,x,y,z,subject
0,0.03,0.02,1.0,1
1,0.04,0.02,1.0,1
2,0.04,0.02,1.0,1
3,0.04,0.02,1.0,1
4,0.04,0.02,1.0,1
5,0.04,0.02,1.0,1
6,0.04,0.02,1.0,1
7,0.04,0.02,1.0,1
8,0.01,0.01,1.0,1
9,0.05,0.02,1.0,1
10,0.04,0.03,1.0,1
11,0.05,-0.02,1.02,1
12,0.05,-0.27,0.93,1
13,0.04,-0.46,0.91,1
14,-0.01,-0.64,0.76,1
15,0.05,-0.62,0.63,1
16,0.08,-0.73,0.7,1
17,0.07,-0.68,0.54,1
18,0.07,-0.72,0.63,1
19,0.07,-0.7,0.62,1
20,0.05,-0.73,0.64,1
21,0.12,-0.52,0.88,1
22,0.08,-0.48,0.66,1
23,0.02,-0.25,0.95,1
24,0.03,-0.16,1.0,1
25,0.0,-0.2,1.02,1
26,0.02,-0.09,0.92,1
27,0.01,-0.06,1.06,1
28,0.02,0.03,1.01,1
29,0.04,0.02,0.99,1
30,0.02,-0.0,1.0,1
31,0.09,0.04,0.98,1
32,0.04,0.02,1.0,1
33,0.04,0.02,1.0,1
34,0.04,0.02,1.0,1
35,0.04,0.02,1.0,1
36,0.04,0.02,1.0,1
37,0.04,0.02,1.0,1
38,0.04,0.02,1.0,1
39,0.04,0.02,1.0,1
40,0.04,0.02,1.0,1
41,0.04,0.02,1.0,1
42,0.04,0.02,1.0,1
43,0.04,0.02,1.0,1
44,0.04,0.02,1.0,1
45,0.04,0.02,1.0,1
46,0.03,0.02,1.0,1
47,0.04,0.02,1.0,1
48,0.04,0.02,1.0,1
49,0.04,0.02,1.0,1
50,0.04,0.02,1.0,1
51,0.04,0.02,1.0,1
52,0.04,0.02,1.0,1
53,0.04,0.02,1.0,1
54,0.04,0.02,1.0,1
55,0.04,0.02,1.0,1
56,0.04,0.02,1.0,1
57,0.04,0.02,1.0,1
58,0.04,0.02,1.0,1
59,0.04,0.02,1.0,1
60,0.04,0.02,1.0,1
61,0.04,0.02,1.0,1
62,0.04,0.02,1.0,1
63,0.04,0.02,1.0,1
64,0.04,0.02,1.0,1
65,0.03,0.02,1.0,1
66,0.04,0.02,1.0,1
67,0.03,-0.04,1.03,1
68,0.02,-0.13,0.94,1
69,0.05,-0.44,0.93,1
70,0.11,-0.52,0.78,1
71,0.07,-0.61,0.62,1
72,0.03,-0.78,0.81,1
73,0.04,-0.75,0.59,1
74,-0.0,-0.76,0.63,1
75,-0.03,-0.78,0.57,1
76,-0.02,-0.8,0.56,1
77,-0.01,-0.8,0.61,1
78,-0.0,-0.78,0.58,1
79,-0.0,-0.87,0.61,1
80,-0.02,-0.46,0.78,1
81,-0.04,-0.34,0.88,1
82,0.07,0.05,1.01,1
83,-0.02,-0.07,0.95,1
84,-0.01,0.11,0.96,1
85,-0.01,0.07,0.86,1
86,0.04,0.01,1.0,1
87,0.0,-0.04,1.0,1
88,0.04,0.02,1.0,1
89,0.03,0.02,1.0,1
90,0.04,0.02,1.0,1
91,0.04,0.02,1.0,1
92,0.04,0.02,1.0,1
93,0.04,0.02,1.0,1
94,0.04,0.02,1.0,1
95,0.04,0.02,1.0,1
96,0.04,0.02,1.0,1
97,0.04,0.02,1.0,1
98,0.04,0.02,1.0,1
99,0.04,0.02,1.0,1
100,0.04,0.02,1.0,1
101,0.04,0.02,1.0,1
102,0.04,0.02,1.0,1
103,0.04,0.03,1.0,1
104,0.04,0.02,1.0,1
105,0.04,0.02,1.0,1
106,0.04,0.02,1.0,1
107,0.04,0.02,1.0,1
108,0.04,0.02,1.0,1
109,0.04,0.02,1.0,1
110,0.04,0.03,1.0,1
111,0.04,0.02,1.0,1
112,0.04,0.02,1.0,1
113,0.04,0.02,1.0,1
114,0.04,0.02,1.0,1
115,0.04,0.02,1.0,1
116,0.04,0.02,1.0,1
117,0.04,0.02,1.0,1
118,0.04,0.02,1.0,1
119,0.04,0.02,1.0,1
120,0.04,0.02,1.0,1
121,0.04,0.02,1.0,1
122,0.07,0.02,1.0,1
123,0.05,0.01,1.02,1
124,0.05,-0.22,0.95,1
125,0.06,-0.38,0.86,1
126,0.03,-0.52,0.79,1
127,0.02,-0.73,0.67,1
128,0.04,-0.67,0.71,1
129,0.0,-0.76,0.57,1
130,0.02,-0.75,0.6,1
131,0.02,-0.76,0.6,1
132,0.02,-0.76,0.58,1
133,0.0,-0.76,0.61,1
134,0.02,-0.76,0.58,1
135,0.02,-0.76,0.56,1
136,0.05,-0.69,0.68,1
137,0.04,-0.63,0.75,1
138,0.02,-0.47,0.91,1
139,0.04,-0.3,0.95,1
140,0.04,-0.16,0.95,1
141,0.04,0.02,1.02,1
142,0.05,-0.01,1.0,1
143,0.1,0.09,1.0,1
144,0.04,0.02,1.0,1
145,0.04,0.02,1.0,1
146,0.04,0.02,1.0,1
147,0.04,0.02,1.0,1
148,0.04,0.02,1.0,1
149,0.04,0.02,1.0,1
150,0.04,0.02,1.0,1
151,0.04,0.02,1.0,1
152,0.04,0.02,1.0,1
153,0.04,0.02,1.0,1
154,0.04,0.02,1.0,1
155,0.04,0.02,1.0,1
156,0.04,0.02,1.0,1
157,0.04,0.02,1.0,1
158,0.04,0.02,1.0,1
159,0.04,0.02,1.0,1
160,0.04,0.02,1.0,1
161,0.04,0.02,1.0,1
162,0.04,0.02,1.0,1
163,0.04,0.02,1.0,1
164,0.04,0.02,1.0,1
165,0.04,0.03,1.0,1
166,0.04,0.02,1.0,1
167,0.04,0.02,1.0,1
168,0.04,0.02,1.0,1
169,0.04,0.02,1.0,1
170,0.04,0.03,1.0,1
171,0.04,0.02,1.0,1
172,0.04,0.02,1.0,1
173,0.04,0.03,1.0,1
174,0.04,0.02,1.0,1
175,0.04,0.02,1.0,1
176,0.04,0.02,1.0,1
177,0.04,0.02,1.0,1
178,0.04,0.02,1.01,1
179,0.04,0.02,1.0,1
180,0.05,0.03,1.0,1
181,0.04,0.01,1.02,1
182,0.03,-0.14,1.01,1
183,0.02,-0.38,0.94,1
184,0.04,-0.54,0.79,1
185,-0.05,-0.53,0.79,1
186,-0.01,-0.7,0.73,1
187,-0.02,-0.79,0.75,1
188,-0.02,-0.74,0.64,1
189,-0.06,-0.73,0.58,1
190,-0.04,-0.74,0.63,1
191,-0.04,-0.69,0.59,1
192,-0.04,-0.71,0.6,1
193,-0.02,-0.73,0.63,1
194,-0.01,-0.77,0.64,1
195,0.0,-0.61,0.69,1
196,-0.02,-0.57,0.78,1
197,-0.02,-0.34,0.94,1
198,-0.06,-0.17,0.99,1
199,0.02,-0.11,1.0,1
200,0.04,-0.04,1.0,1
201,-0.05,0.02,1.0,1
202,0.04,0.02,1.01,1
203,0.04,0.02,1.0,1
204,0.04,0.02,1.0,1
205,0.03,0.02,1.0,1
206,0.04,0.02,1.0,1
207,0.04,0.02,1.0,1
208,0.04,0.02,1.0,1
209,0.04,0.02,1.0,1
210,0.04,0.02,1.0,1
211,0.04,0.02,1.0,1
212,0.04,0.02,1.0,1
213,0.03,0.03,1.0,1
214,0.04,0.02,1.0,1
215,0.04,0.02,1.0,1
216,0.04,0.02,1.0,1
217,0.04,0.02,1.0,1
218,0.04,0.02,1.0,1
219,0.04,0.02,1.0,1
220,0.04,0.02,1.0,1
221,0.04,0.03,1.0,1
222,0.04,0.02,1.0,1
223,0.04,0.02,1.0,1
224,0.04,0.03,1.0,1
225,0.04,0.02,1.0,1
226,0.04,0.02,1.0,1
227,0.04,0.02,1.0,1
228,0.04,0.02,1.0,1
229,0.04,0.02,1.0,1
230,0.04,0.02,1.0,1
231,0.04,0.02,1.0,1
232,0.04,0.02,1.0,1
233,0.04,0.02,1.0,1
234,0.04,0.02,1.0,1
235,0.04,0.02,1.0,1
236,0.04,0.02,1.0,1
237,0.04,0.02,1.0,1
238,-0.03,0.03,1.0,1
239,0.04,0.04,1.07,1
240,0.01,-0.18,0.96,1
241,0.0,-0.42,0.93,1
242,-0.01,-0.7,0.82,1
243,0.0,-0.5,0.5,1
244,-0.02,-0.66,0.75,1
245,-0.05,-0.74,0.64,1
246,-0.01,-0.77,0.45,1
247,-0.04,-0.85,0.56,1
248,-0.01,-0.79,0.5,1
249,-0.03,-0.79,0.52,1
250,-0.01,-0.78,0.55,1
251,0.02,-0.5,0.71,1
252,0.06,-0.35,0.89,1
253,0.03,-0.09,1.14,1
254,-0.03,-0.09,0.93,1
255,0.0,-0.01,1.0,1
256,0.02,0.01,1.01,1
257,0.0,-0.05,1.04,1
258,0.04,0.02,1.0,1
259,0.04,0.02,1.0,1
260,0.04,0.02,1.0,1
261,0.04,0.02,1.0,1
262,0.04,0.02,1.0,1
263,0.04,0.02,1.0,1
264,0.04,0.02,1.0,1
265,0.04,0.02,1.0,1
266,0.04,0.02,1.0,1
267,0.04,0.02,1.0,1
