State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,133.00,400,440,420,06 Sep 2006,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,230.00,200,400,300,18 Aug 2016,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,301.00,300,340,320,04 Oct 2006,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,342.00,800,1400,1100,29 Jun 2015,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,344.00,1200,2400,1700,10 Aug 2015,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,383.00,550,600,575,20 Apr 2017,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,438.00,500,600,550,27 Mar 2007,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,446.00,700,800,750,27 Jan 2007,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,451.00,200,400,300,01 Oct 2008,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,481.00,1600,2800,2200,24 Aug 2015,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,489.00,600,1000,800,01 Oct 2010,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,489.00,1500,2000,1700,23 Jul 2013,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,519.00,500,600,550,25 Apr 2017,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,532.00,800,900,850,20 Feb 2007,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,542.00,800,900,850,23 Jun 2007,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,559.00,240,320,280,09 Aug 2006,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,559.00,900,1000,950,03 Jul 2007,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,561.00,300,350,325,08 Aug 2006,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,568.00,400,450,425,08 Mar 2007,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,568.00,500,600,550,27 Apr 2017,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,574.00,200,250,225,23 Apr 2008,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,577.00,200,350,280,09 Feb 2012,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,578.00,400,500,435,31 Mar 2009,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,593.00,200,300,250,25 Mar 2008,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,605.00,550,600,575,29 May 2007,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,623.00,900,950,925,17 Jul 2007,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,625.00,600,800,700,26 Jul 2011,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,627.00,800,900,850,22 Jun 2007,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,631.00,200,300,250,26 Mar 2008,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,645.00,650,750,700,21 Mar 2007,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,665.00,480,520,500,24 May 2007,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,673.00,280,340,300,27 Apr 2012,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,680.00,200,380,300,27 Mar 2012,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,683.00,600,1000,900,12 Mar 2013,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,683.00,900,950,925,11 Jul 2007,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,688.00,200,400,300,26 Feb 2008,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,699.00,200,400,300,27 Feb 2008,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,701.00,900,950,925,21 Jul 2007,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,702.00,400,420,410,07 Mar 2007,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,704.00,600,800,700,20 Aug 2008,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,710.00,480,500,490,26 Apr 2007,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,710.00,500,600,550,28 Mar 2007,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,713.00,300,400,380,28 Apr 2012,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,720.00,250,300,275,13 Sep 2006,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,720.00,600,650,625,05 Jun 2007,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,723.00,550,600,575,30 May 2007,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,725.00,600,800,700,27 Jul 2011,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,725.00,800,1200,1000,24 Aug 2007,
Karnataka,Bangalore,Bangalore,Bangalore-Samall,Vegetables,733.00,350,400,375,03 Mar 2007,
